sp_id,orb_id,n,l,j,m,mt,e
0,1,0,0,0.5,-0.5,-0.5,0
1,1,0,0,0.5,0.5,-0.5,0
2,1,0,0,0.5,-0.5,0.5,0
3,1,0,0,0.5,0.5,0.5,0
4,2,0,1,0.5,-0.5,-0.5,1
5,2,0,1,0.5,0.5,-0.5,1
6,2,0,1,0.5,-0.5,0.5,1
7,2,0,1,0.5,0.5,0.5,1
8,3,0,1,1.5,-1.5,-0.5,1
9,3,0,1,1.5,-0.5,-0.5,1
10,3,0,1,1.5,0.5,-0.5,1
11,3,0,1,1.5,1.5,-0.5,1
12,3,0,1,1.5,-1.5,0.5,1
13,3,0,1,1.5,-0.5,0.5,1
14,3,0,1,1.5,0.5,0.5,1
15,3,0,1,1.5,1.5,0.5,1
16,4,0,2,1.5,-1.5,-0.5,2
17,4,0,2,1.5,-0.5,-0.5,2
18,4,0,2,1.5,0.5,-0.5,2
19,4,0,2,1.5,1.5,-0.5,2
20,4,0,2,1.5,-1.5,0.5,2
21,4,0,2,1.5,-0.5,0.5,2
22,4,0,2,1.5,0.5,0.5,2
23,4,0,2,1.5,1.5,0.5,2
24,5,0,2,2.5,-2.5,-0.5,2
25,5,0,2,2.5,-1.5,-0.5,2
26,5,0,2,2.5,-0.5,-0.5,2
27,5,0,2,2.5,0.5,-0.5,2
28,5,0,2,2.5,1.5,-0.5,2
29,5,0,2,2.5,2.5,-0.5,2
30,5,0,2,2.5,-2.5,0.5,2
31,5,0,2,2.5,-1.5,0.5,2
32,5,0,2,2.5,-0.5,0.5,2
33,5,0,2,2.5,0.5,0.5,2
34,5,0,2,2.5,1.5,0.5,2
35,5,0,2,2.5,2.5,0.5,2
36,6,1,0,0.5,-0.5,-0.5,2
37,6,1,0,0.5,0.5,-0.5,2
38,6,1,0,0.5,-0.5,0.5,2
39,6,1,0,0.5,0.5,0.5,2
40,7,0,3,2.5,-2.5,-0.5,3
41,7,0,3,2.5,-1.5,-0.5,3
42,7,0,3,2.5,-0.5,-0.5,3
43,7,0,3,2.5,0.5,-0.5,3
44,7,0,3,2.5,1.5,-0.5,3
45,7,0,3,2.5,2.5,-0.5,3
46,7,0,3,2.5,-2.5,0.5,3
47,7,0,3,2.5,-1.5,0.5,3
48,7,0,3,2.5,-0.5,0.5,3
49,7,0,3,2.5,0.5,0.5,3
50,7,0,3,2.5,1.5,0.5,3
51,7,0,3,2.5,2.5,0.5,3
52,8,0,3,3.5,-3.5,-0.5,3
53,8,0,3,3.5,-2.5,-0.5,3
54,8,0,3,3.5,-1.5,-0.5,3
55,8,0,3,3.5,-0.5,-0.5,3
56,8,0,3,3.5,0.5,-0.5,3
57,8,0,3,3.5,1.5,-0.5,3
58,8,0,3,3.5,2.5,-0.5,3
59,8,0,3,3.5,3.5,-0.5,3
60,8,0,3,3.5,-3.5,0.5,3
61,8,0,3,3.5,-2.5,0.5,3
62,8,0,3,3.5,-1.5,0.5,3
63,8,0,3,3.5,-0.5,0.5,3
64,8,0,3,3.5,0.5,0.5,3
65,8,0,3,3.5,1.5,0.5,3
66,8,0,3,3.5,2.5,0.5,3
67,8,0,3,3.5,3.5,0.5,3
68,9,1,1,0.5,-0.5,-0.5,3
69,9,1,1,0.5,0.5,-0.5,3
70,9,1,1,0.5,-0.5,0.5,3
71,9,1,1,0.5,0.5,0.5,3
72,10,1,1,1.5,-1.5,-0.5,3
73,10,1,1,1.5,-0.5,-0.5,3
74,10,1,1,1.5,0.5,-0.5,3
75,10,1,1,1.5,1.5,-0.5,3
76,10,1,1,1.5,-1.5,0.5,3
77,10,1,1,1.5,-0.5,0.5,3
78,10,1,1,1.5,0.5,0.5,3
79,10,1,1,1.5,1.5,0.5,3
80,11,0,4,3.5,-3.5,-0.5,4
81,11,0,4,3.5,-2.5,-0.5,4
82,11,0,4,3.5,-1.5,-0.5,4
83,11,0,4,3.5,-0.5,-0.5,4
84,11,0,4,3.5,0.5,-0.5,4
85,11,0,4,3.5,1.5,-0.5,4
86,11,0,4,3.5,2.5,-0.5,4
87,11,0,4,3.5,3.5,-0.5,4
88,11,0,4,3.5,-3.5,0.5,4
89,11,0,4,3.5,-2.5,0.5,4
90,11,0,4,3.5,-1.5,0.5,4
91,11,0,4,3.5,-0.5,0.5,4
92,11,0,4,3.5,0.5,0.5,4
93,11,0,4,3.5,1.5,0.5,4
94,11,0,4,3.5,2.5,0.5,4
95,11,0,4,3.5,3.5,0.5,4
96,12,0,4,4.5,-4.5,-0.5,4
97,12,0,4,4.5,-3.5,-0.5,4
98,12,0,4,4.5,-2.5,-0.5,4
99,12,0,4,4.5,-1.5,-0.5,4
100,12,0,4,4.5,-0.5,-0.5,4
101,12,0,4,4.5,0.5,-0.5,4
102,12,0,4,4.5,1.5,-0.5,4
103,12,0,4,4.5,2.5,-0.5,4
104,12,0,4,4.5,3.5,-0.5,4
105,12,0,4,4.5,4.5,-0.5,4
106,12,0,4,4.5,-4.5,0.5,4
107,12,0,4,4.5,-3.5,0.5,4
108,12,0,4,4.5,-2.5,0.5,4
109,12,0,4,4.5,-1.5,0.5,4
110,12,0,4,4.5,-0.5,0.5,4
111,12,0,4,4.5,0.5,0.5,4
112,12,0,4,4.5,1.5,0.5,4
113,12,0,4,4.5,2.5,0.5,4
114,12,0,4,4.5,3.5,0.5,4
115,12,0,4,4.5,4.5,0.5,4
116,13,1,2,1.5,-1.5,-0.5,4
117,13,1,2,1.5,-0.5,-0.5,4
118,13,1,2,1.5,0.5,-0.5,4
119,13,1,2,1.5,1.5,-0.5,4
120,13,1,2,1.5,-1.5,0.5,4
121,13,1,2,1.5,-0.5,0.5,4
122,13,1,2,1.5,0.5,0.5,4
123,13,1,2,1.5,1.5,0.5,4
124,14,1,2,2.5,-2.5,-0.5,4
125,14,1,2,2.5,-1.5,-0.5,4
126,14,1,2,2.5,-0.5,-0.5,4
127,14,1,2,2.5,0.5,-0.5,4
128,14,1,2,2.5,1.5,-0.5,4
129,14,1,2,2.5,2.5,-0.5,4
130,14,1,2,2.5,-2.5,0.5,4
131,14,1,2,2.5,-1.5,0.5,4
132,14,1,2,2.5,-0.5,0.5,4
133,14,1,2,2.5,0.5,0.5,4
134,14,1,2,2.5,1.5,0.5,4
135,14,1,2,2.5,2.5,0.5,4
136,15,2,0,0.5,-0.5,-0.5,4
137,15,2,0,0.5,0.5,-0.5,4
138,15,2,0,0.5,-0.5,0.5,4
139,15,2,0,0.5,0.5,0.5,4
140,16,0,5,4.5,-4.5,-0.5,5
141,16,0,5,4.5,-3.5,-0.5,5
142,16,0,5,4.5,-2.5,-0.5,5
143,16,0,5,4.5,-1.5,-0.5,5
144,16,0,5,4.5,-0.5,-0.5,5
145,16,0,5,4.5,0.5,-0.5,5
146,16,0,5,4.5,1.5,-0.5,5
147,16,0,5,4.5,2.5,-0.5,5
148,16,0,5,4.5,3.5,-0.5,5
149,16,0,5,4.5,4.5,-0.5,5
150,16,0,5,4.5,-4.5,0.5,5
151,16,0,5,4.5,-3.5,0.5,5
152,16,0,5,4.5,-2.5,0.5,5
153,16,0,5,4.5,-1.5,0.5,5
154,16,0,5,4.5,-0.5,0.5,5
155,16,0,5,4.5,0.5,0.5,5
156,16,0,5,4.5,1.5,0.5,5
157,16,0,5,4.5,2.5,0.5,5
158,16,0,5,4.5,3.5,0.5,5
159,16,0,5,4.5,4.5,0.5,5
160,17,0,5,5.5,-5.5,-0.5,5
161,17,0,5,5.5,-4.5,-0.5,5
162,17,0,5,5.5,-3.5,-0.5,5
163,17,0,5,5.5,-2.5,-0.5,5
164,17,0,5,5.5,-1.5,-0.5,5
165,17,0,5,5.5,-0.5,-0.5,5
166,17,0,5,5.5,0.5,-0.5,5
167,17,0,5,5.5,1.5,-0.5,5
168,17,0,5,5.5,2.5,-0.5,5
169,17,0,5,5.5,3.5,-0.5,5
170,17,0,5,5.5,4.5,-0.5,5
171,17,0,5,5.5,5.5,-0.5,5
172,17,0,5,5.5,-5.5,0.5,5
173,17,0,5,5.5,-4.5,0.5,5
174,17,0,5,5.5,-3.5,0.5,5
175,17,0,5,5.5,-2.5,0.5,5
176,17,0,5,5.5,-1.5,0.5,5
177,17,0,5,5.5,-0.5,0.5,5
178,17,0,5,5.5,0.5,0.5,5
179,17,0,5,5.5,1.5,0.5,5
180,17,0,5,5.5,2.5,0.5,5
181,17,0,5,5.5,3.5,0.5,5
182,17,0,5,5.5,4.5,0.5,5
183,17,0,5,5.5,5.5,0.5,5
184,18,1,3,2.5,-2.5,-0.5,5
185,18,1,3,2.5,-1.5,-0.5,5
186,18,1,3,2.5,-0.5,-0.5,5
187,18,1,3,2.5,0.5,-0.5,5
188,18,1,3,2.5,1.5,-0.5,5
189,18,1,3,2.5,2.5,-0.5,5
190,18,1,3,2.5,-2.5,0.5,5
191,18,1,3,2.5,-1.5,0.5,5
192,18,1,3,2.5,-0.5,0.5,5
193,18,1,3,2.5,0.5,0.5,5
194,18,1,3,2.5,1.5,0.5,5
195,18,1,3,2.5,2.5,0.5,5
196,19,1,3,3.5,-3.5,-0.5,5
197,19,1,3,3.5,-2.5,-0.5,5
198,19,1,3,3.5,-1.5,-0.5,5
199,19,1,3,3.5,-0.5,-0.5,5
200,19,1,3,3.5,0.5,-0.5,5
201,19,1,3,3.5,1.5,-0.5,5
202,19,1,3,3.5,2.5,-0.5,5
203,19,1,3,3.5,3.5,-0.5,5
204,19,1,3,3.5,-3.5,0.5,5
205,19,1,3,3.5,-2.5,0.5,5
206,19,1,3,3.5,-1.5,0.5,5
207,19,1,3,3.5,-0.5,0.5,5
208,19,1,3,3.5,0.5,0.5,5
209,19,1,3,3.5,1.5,0.5,5
210,19,1,3,3.5,2.5,0.5,5
211,19,1,3,3.5,3.5,0.5,5
212,20,2,1,0.5,-0.5,-0.5,5
213,20,2,1,0.5,0.5,-0.5,5
214,20,2,1,0.5,-0.5,0.5,5
215,20,2,1,0.5,0.5,0.5,5
216,21,2,1,1.5,-1.5,-0.5,5
217,21,2,1,1.5,-0.5,-0.5,5
218,21,2,1,1.5,0.5,-0.5,5
219,21,2,1,1.5,1.5,-0.5,5
220,21,2,1,1.5,-1.5,0.5,5
221,21,2,1,1.5,-0.5,0.5,5
222,21,2,1,1.5,0.5,0.5,5
223,21,2,1,1.5,1.5,0.5,5
224,22,0,6,5.5,-5.5,-0.5,6
225,22,0,6,5.5,-4.5,-0.5,6
226,22,0,6,5.5,-3.5,-0.5,6
227,22,0,6,5.5,-2.5,-0.5,6
228,22,0,6,5.5,-1.5,-0.5,6
229,22,0,6,5.5,-0.5,-0.5,6
230,22,0,6,5.5,0.5,-0.5,6
231,22,0,6,5.5,1.5,-0.5,6
232,22,0,6,5.5,2.5,-0.5,6
233,22,0,6,5.5,3.5,-0.5,6
234,22,0,6,5.5,4.5,-0.5,6
235,22,0,6,5.5,5.5,-0.5,6
236,22,0,6,5.5,-5.5,0.5,6
237,22,0,6,5.5,-4.5,0.5,6
238,22,0,6,5.5,-3.5,0.5,6
239,22,0,6,5.5,-2.5,0.5,6
240,22,0,6,5.5,-1.5,0.5,6
241,22,0,6,5.5,-0.5,0.5,6
242,22,0,6,5.5,0.5,0.5,6
243,22,0,6,5.5,1.5,0.5,6
244,22,0,6,5.5,2.5,0.5,6
245,22,0,6,5.5,3.5,0.5,6
246,22,0,6,5.5,4.5,0.5,6
247,22,0,6,5.5,5.5,0.5,6
248,23,0,6,6.5,-6.5,-0.5,6
249,23,0,6,6.5,-5.5,-0.5,6
250,23,0,6,6.5,-4.5,-0.5,6
251,23,0,6,6.5,-3.5,-0.5,6
252,23,0,6,6.5,-2.5,-0.5,6
253,23,0,6,6.5,-1.5,-0.5,6
254,23,0,6,6.5,-0.5,-0.5,6
255,23,0,6,6.5,0.5,-0.5,6
256,23,0,6,6.5,1.5,-0.5,6
257,23,0,6,6.5,2.5,-0.5,6
258,23,0,6,6.5,3.5,-0.5,6
259,23,0,6,6.5,4.5,-0.5,6
260,23,0,6,6.5,5.5,-0.5,6
261,23,0,6,6.5,6.5,-0.5,6
262,23,0,6,6.5,-6.5,0.5,6
263,23,0,6,6.5,-5.5,0.5,6
264,23,0,6,6.5,-4.5,0.5,6
265,23,0,6,6.5,-3.5,0.5,6
266,23,0,6,6.5,-2.5,0.5,6
267,23,0,6,6.5,-1.5,0.5,6
268,23,0,6,6.5,-0.5,0.5,6
269,23,0,6,6.5,0.5,0.5,6
270,23,0,6,6.5,1.5,0.5,6
271,23,0,6,6.5,2.5,0.5,6
272,23,0,6,6.5,3.5,0.5,6
273,23,0,6,6.5,4.5,0.5,6
274,23,0,6,6.5,5.5,0.5,6
275,23,0,6,6.5,6.5,0.5,6
276,24,1,4,3.5,-3.5,-0.5,6
277,24,1,4,3.5,-2.5,-0.5,6
278,24,1,4,3.5,-1.5,-0.5,6
279,24,1,4,3.5,-0.5,-0.5,6
280,24,1,4,3.5,0.5,-0.5,6
281,24,1,4,3.5,1.5,-0.5,6
282,24,1,4,3.5,2.5,-0.5,6
283,24,1,4,3.5,3.5,-0.5,6
284,24,1,4,3.5,-3.5,0.5,6
285,24,1,4,3.5,-2.5,0.5,6
286,24,1,4,3.5,-1.5,0.5,6
287,24,1,4,3.5,-0.5,0.5,6
288,24,1,4,3.5,0.5,0.5,6
289,24,1,4,3.5,1.5,0.5,6
290,24,1,4,3.5,2.5,0.5,6
291,24,1,4,3.5,3.5,0.5,6
292,25,1,4,4.5,-4.5,-0.5,6
293,25,1,4,4.5,-3.5,-0.5,6
294,25,1,4,4.5,-2.5,-0.5,6
295,25,1,4,4.5,-1.5,-0.5,6
296,25,1,4,4.5,-0.5,-0.5,6
297,25,1,4,4.5,0.5,-0.5,6
298,25,1,4,4.5,1.5,-0.5,6
299,25,1,4,4.5,2.5,-0.5,6
300,25,1,4,4.5,3.5,-0.5,6
301,25,1,4,4.5,4.5,-0.5,6
302,25,1,4,4.5,-4.5,0.5,6
303,25,1,4,4.5,-3.5,0.5,6
304,25,1,4,4.5,-2.5,0.5,6
305,25,1,4,4.5,-1.5,0.5,6
306,25,1,4,4.5,-0.5,0.5,6
307,25,1,4,4.5,0.5,0.5,6
308,25,1,4,4.5,1.5,0.5,6
309,25,1,4,4.5,2.5,0.5,6
310,25,1,4,4.5,3.5,0.5,6
311,25,1,4,4.5,4.5,0.5,6
312,26,2,2,1.5,-1.5,-0.5,6
313,26,2,2,1.5,-0.5,-0.5,6
314,26,2,2,1.5,0.5,-0.5,6
315,26,2,2,1.5,1.5,-0.5,6
316,26,2,2,1.5,-1.5,0.5,6
317,26,2,2,1.5,-0.5,0.5,6
318,26,2,2,1.5,0.5,0.5,6
319,26,2,2,1.5,1.5,0.5,6
320,27,2,2,2.5,-2.5,-0.5,6
321,27,2,2,2.5,-1.5,-0.5,6
322,27,2,2,2.5,-0.5,-0.5,6
323,27,2,2,2.5,0.5,-0.5,6
324,27,2,2,2.5,1.5,-0.5,6
325,27,2,2,2.5,2.5,-0.5,6
326,27,2,2,2.5,-2.5,0.5,6
327,27,2,2,2.5,-1.5,0.5,6
328,27,2,2,2.5,-0.5,0.5,6
329,27,2,2,2.5,0.5,0.5,6
330,27,2,2,2.5,1.5,0.5,6
331,27,2,2,2.5,2.5,0.5,6
332,28,3,0,0.5,-0.5,-0.5,6
333,28,3,0,0.5,0.5,-0.5,6
334,28,3,0,0.5,-0.5,0.5,6
335,28,3,0,0.5,0.5,0.5,6
336,29,0,7,6.5,-6.5,-0.5,7
337,29,0,7,6.5,-5.5,-0.5,7
338,29,0,7,6.5,-4.5,-0.5,7
339,29,0,7,6.5,-3.5,-0.5,7
340,29,0,7,6.5,-2.5,-0.5,7
341,29,0,7,6.5,-1.5,-0.5,7
342,29,0,7,6.5,-0.5,-0.5,7
343,29,0,7,6.5,0.5,-0.5,7
344,29,0,7,6.5,1.5,-0.5,7
345,29,0,7,6.5,2.5,-0.5,7
346,29,0,7,6.5,3.5,-0.5,7
347,29,0,7,6.5,4.5,-0.5,7
348,29,0,7,6.5,5.5,-0.5,7
349,29,0,7,6.5,6.5,-0.5,7
350,29,0,7,6.5,-6.5,0.5,7
351,29,0,7,6.5,-5.5,0.5,7
352,29,0,7,6.5,-4.5,0.5,7
353,29,0,7,6.5,-3.5,0.5,7
354,29,0,7,6.5,-2.5,0.5,7
355,29,0,7,6.5,-1.5,0.5,7
356,29,0,7,6.5,-0.5,0.5,7
357,29,0,7,6.5,0.5,0.5,7
358,29,0,7,6.5,1.5,0.5,7
359,29,0,7,6.5,2.5,0.5,7
360,29,0,7,6.5,3.5,0.5,7
361,29,0,7,6.5,4.5,0.5,7
362,29,0,7,6.5,5.5,0.5,7
363,29,0,7,6.5,6.5,0.5,7
364,30,0,7,7.5,-7.5,-0.5,7
365,30,0,7,7.5,-6.5,-0.5,7
366,30,0,7,7.5,-5.5,-0.5,7
367,30,0,7,7.5,-4.5,-0.5,7
368,30,0,7,7.5,-3.5,-0.5,7
369,30,0,7,7.5,-2.5,-0.5,7
370,30,0,7,7.5,-1.5,-0.5,7
371,30,0,7,7.5,-0.5,-0.5,7
372,30,0,7,7.5,0.5,-0.5,7
373,30,0,7,7.5,1.5,-0.5,7
374,30,0,7,7.5,2.5,-0.5,7
375,30,0,7,7.5,3.5,-0.5,7
376,30,0,7,7.5,4.5,-0.5,7
377,30,0,7,7.5,5.5,-0.5,7
378,30,0,7,7.5,6.5,-0.5,7
379,30,0,7,7.5,7.5,-0.5,7
380,30,0,7,7.5,-7.5,0.5,7
381,30,0,7,7.5,-6.5,0.5,7
382,30,0,7,7.5,-5.5,0.5,7
383,30,0,7,7.5,-4.5,0.5,7
384,30,0,7,7.5,-3.5,0.5,7
385,30,0,7,7.5,-2.5,0.5,7
386,30,0,7,7.5,-1.5,0.5,7
387,30,0,7,7.5,-0.5,0.5,7
388,30,0,7,7.5,0.5,0.5,7
389,30,0,7,7.5,1.5,0.5,7
390,30,0,7,7.5,2.5,0.5,7
391,30,0,7,7.5,3.5,0.5,7
